id,kode,nama,biaya_panggilan_id
279,11.01.18.2006,Jambo Papeun,
280,11.01.18.2007,Cot Bayu,
281,11.01.18.2008,Naca,
282,11.01.18.2009,Ie Jeureuneh,
283,11.01.18.2010,Lhok Raya,
284,11.02,KAB. ACEH TENGGARA,
285,11.02.01,Lawe Alas,
286,11.02.01.2001,Engkeran,
287,11.02.01.2002,Rumah Kampung,
288,11.02.01.2004,Pasir Bangun,
289,11.02.01.2006,Kubu,
290,11.02.01.2007,Lawe Kongker,
291,11.02.01.2008,Kuta Cingkam II,
292,11.02.01.2009,Muara Baru,
293,11.02.01.2011,Kuta Batu I,
294,11.02.01.2012,Kuta Cingkam I,
295,11.02.01.2013,Kuta Batu II,
296,11.02.01.2014,Lawe Sempilang,
297,11.02.01.2015,Prapat Batu Nunggul,
298,11.02.01.2016,Pulo Sepang,
299,11.02.01.2017,Rih Mbelang,
300,11.02.01.2018,Kute Batu Baru,
301,11.02.01.2019,Darul Amin,
302,11.02.01.2020,Lawe Lubang Indah,
303,11.02.01.2021,Batu Hamparan,
304,11.02.01.2022,Paye Munje,
305,11.02.01.2023,Pulo Ndapdap,
306,11.02.01.2024,Pasir Nunggul,
307,11.02.01.2025,Cingkham Mekhanggun,
308,11.02.01.2026,Pintu Khimbe,
309,11.02.01.2027,Lawe Kongker Hilir,
310,11.02.01.2028,Pulo Gadung,
311,11.02.01.2029,Pasikh Pehkmate,
312,11.02.01.2030,Pasikh Nunang,
313,11.02.01.2031,Deleng Kukusen,
314,11.02.02,Lawe Sigala-Gala,
315,11.02.02.2001,Bukit Merdeka,
316,11.02.02.2002,Darul Aman,
317,11.02.02.2003,Lawe Kesumpat,
318,11.02.02.2004,Lawe Tua Gabungan,
319,11.02.02.2005,Lawe Sigala II,
320,11.02.02.2006,Lawe Sigala Timur,
321,11.02.02.2007,Lawe Sigala Barat,
322,11.02.02.2008,Suka Damai,
323,11.02.02.2009,Kute Tengah,
324,11.02.02.2010,Tanah Baru,
325,11.02.02.2011,Kedataran  Gabungan,
326,11.02.02.2012,Gabungan  Parsaroan,
327,11.02.02.2013,Lawe Loning Gabungan,
328,11.02.02.2014,Lawe Loning Aman,
329,11.02.02.2015,Suka Maju,
330,11.02.02.2016,Lawe Tua Makmur,
331,11.02.02.2017,Lawe Tua Persatuan,
332,11.02.02.2018,Lawe Serke,
333,11.02.02.2019,Lawe Rakat,
334,11.02.02.2020,Suka Jaya,
335,11.02.02.2021,Enmiya Batu Dua Ratus,
336,11.02.02.2022,Sebungke,
337,11.02.02.2023,Bukit Sepakat,
338,11.02.02.2024,Lawe Loning Sepakat,
339,11.02.02.2025,Lawe Loning I,
340,11.02.02.2026,Gaya Jaya,
341,11.02.02.2027,Gelah Musara,
342,11.02.02.2028,Mulie Dame,
343,11.02.02.2029,Lawe Loning Hakhapen,
